material_id,components,thermoml_fair_version,property,value,phase,method,uncertainty,source_file,doi,publication_year,title,author,journal
1__3,"4-chloro-N-(propylcarbamoyl)benzenesulfonamide, carbon dioxide",1.0.10,unknown,2.36e-06,Fluid (supercritical or subcritical phases),,,C:\Users\angel\AppData\Local\Temp\tmp9iwkey3c\acs.jced.8b00050.xml,10.1021/acs.jced.8b00050,2018,Solubility of Tolbutamide and Chlorpropamide in Supercritical Carbon Dioxide,"Manna, L.[Luigi]",J. Chem. Eng. Data
1__3,"4-chloro-N-(propylcarbamoyl)benzenesulfonamide, carbon dioxide",1.0.10,unknown,8.7e-06,Fluid (supercritical or subcritical phases),,,C:\Users\angel\AppData\Local\Temp\tmp9iwkey3c\acs.jced.8b00050.xml,10.1021/acs.jced.8b00050,2018,Solubility of Tolbutamide and Chlorpropamide in Supercritical Carbon Dioxide,"Manna, L.[Luigi]",J. Chem. Eng. Data
1__3,"4-chloro-N-(propylcarbamoyl)benzenesulfonamide, carbon dioxide",1.0.10,unknown,1.39e-05,Fluid (supercritical or subcritical phases),,,C:\Users\angel\AppData\Local\Temp\tmp9iwkey3c\acs.jced.8b00050.xml,10.1021/acs.jced.8b00050,2018,Solubility of Tolbutamide and Chlorpropamide in Supercritical Carbon Dioxide,"Manna, L.[Luigi]",J. Chem. Eng. Data
1__3,"4-chloro-N-(propylcarbamoyl)benzenesulfonamide, carbon dioxide",1.0.10,unknown,1.78e-05,Fluid (supercritical or subcritical phases),,,C:\Users\angel\AppData\Local\Temp\tmp9iwkey3c\acs.jced.8b00050.xml,10.1021/acs.jced.8b00050,2018,Solubility of Tolbutamide and Chlorpropamide in Supercritical Carbon Dioxide,"Manna, L.[Luigi]",J. Chem. Eng. Data
1__3,"4-chloro-N-(propylcarbamoyl)benzenesulfonamide, carbon dioxide",1.0.10,unknown,2.17e-05,Fluid (supercritical or subcritical phases),,,C:\Users\angel\AppData\Local\Temp\tmp9iwkey3c\acs.jced.8b00050.xml,10.1021/acs.jced.8b00050,2018,Solubility of Tolbutamide and Chlorpropamide in Supercritical Carbon Dioxide,"Manna, L.[Luigi]",J. Chem. Eng. Data
1__3,"4-chloro-N-(propylcarbamoyl)benzenesulfonamide, carbon dioxide",1.0.10,unknown,5.38e-06,Fluid (supercritical or subcritical phases),,,C:\Users\angel\AppData\Local\Temp\tmp9iwkey3c\acs.jced.8b00050.xml,10.1021/acs.jced.8b00050,2018,Solubility of Tolbutamide and Chlorpropamide in Supercritical Carbon Dioxide,"Manna, L.[Luigi]",J. Chem. Eng. Data
1__3,"4-chloro-N-(propylcarbamoyl)benzenesulfonamide, carbon dioxide",1.0.10,unknown,1.81e-05,Fluid (supercritical or subcritical phases),,,C:\Users\angel\AppData\Local\Temp\tmp9iwkey3c\acs.jced.8b00050.xml,10.1021/acs.jced.8b00050,2018,Solubility of Tolbutamide and Chlorpropamide in Supercritical Carbon Dioxide,"Manna, L.[Luigi]",J. Chem. Eng. Data
1__3,"4-chloro-N-(propylcarbamoyl)benzenesulfonamide, carbon dioxide",1.0.10,unknown,2.98e-05,Fluid (supercritical or subcritical phases),,,C:\Users\angel\AppData\Local\Temp\tmp9iwkey3c\acs.jced.8b00050.xml,10.1021/acs.jced.8b00050,2018,Solubility of Tolbutamide and Chlorpropamide in Supercritical Carbon Dioxide,"Manna, L.[Luigi]",J. Chem. Eng. Data
1__3,"4-chloro-N-(propylcarbamoyl)benzenesulfonamide, carbon dioxide",1.0.10,unknown,3.88e-05,Fluid (supercritical or subcritical phases),,,C:\Users\angel\AppData\Local\Temp\tmp9iwkey3c\acs.jced.8b00050.xml,10.1021/acs.jced.8b00050,2018,Solubility of Tolbutamide and Chlorpropamide in Supercritical Carbon Dioxide,"Manna, L.[Luigi]",J. Chem. Eng. Data
1__3,"4-chloro-N-(propylcarbamoyl)benzenesulfonamide, carbon dioxide",1.0.10,unknown,2.29e-06,Fluid (supercritical or subcritical phases),,,C:\Users\angel\AppData\Local\Temp\tmp9iwkey3c\acs.jced.8b00050.xml,10.1021/acs.jced.8b00050,2018,Solubility of Tolbutamide and Chlorpropamide in Supercritical Carbon Dioxide,"Manna, L.[Luigi]",J. Chem. Eng. Data
1__3,"4-chloro-N-(propylcarbamoyl)benzenesulfonamide, carbon dioxide",1.0.10,unknown,7.11e-06,Fluid (supercritical or subcritical phases),,,C:\Users\angel\AppData\Local\Temp\tmp9iwkey3c\acs.jced.8b00050.xml,10.1021/acs.jced.8b00050,2018,Solubility of Tolbutamide and Chlorpropamide in Supercritical Carbon Dioxide,"Manna, L.[Luigi]",J. Chem. Eng. Data
1__3,"4-chloro-N-(propylcarbamoyl)benzenesulfonamide, carbon dioxide",1.0.10,unknown,1.75e-05,Fluid (supercritical or subcritical phases),,,C:\Users\angel\AppData\Local\Temp\tmp9iwkey3c\acs.jced.8b00050.xml,10.1021/acs.jced.8b00050,2018,Solubility of Tolbutamide and Chlorpropamide in Supercritical Carbon Dioxide,"Manna, L.[Luigi]",J. Chem. Eng. Data
1__3,"4-chloro-N-(propylcarbamoyl)benzenesulfonamide, carbon dioxide",1.0.10,unknown,3.91e-05,Fluid (supercritical or subcritical phases),,,C:\Users\angel\AppData\Local\Temp\tmp9iwkey3c\acs.jced.8b00050.xml,10.1021/acs.jced.8b00050,2018,Solubility of Tolbutamide and Chlorpropamide in Supercritical Carbon Dioxide,"Manna, L.[Luigi]",J. Chem. Eng. Data
1__3,"4-chloro-N-(propylcarbamoyl)benzenesulfonamide, carbon dioxide",1.0.10,unknown,7.22e-05,Fluid (supercritical or subcritical phases),,,C:\Users\angel\AppData\Local\Temp\tmp9iwkey3c\acs.jced.8b00050.xml,10.1021/acs.jced.8b00050,2018,Solubility of Tolbutamide and Chlorpropamide in Supercritical Carbon Dioxide,"Manna, L.[Luigi]",J. Chem. Eng. Data
2__3,"N-[(butylamino)carbonyl]-4-methylbenzenesulfonamide, carbon dioxide",1.0.10,unknown,1.66e-06,Fluid (supercritical or subcritical phases),,,C:\Users\angel\AppData\Local\Temp\tmp9iwkey3c\acs.jced.8b00050.xml,10.1021/acs.jced.8b00050,2018,Solubility of Tolbutamide and Chlorpropamide in Supercritical Carbon Dioxide,"Manna, L.[Luigi]",J. Chem. Eng. Data
2__3,"N-[(butylamino)carbonyl]-4-methylbenzenesulfonamide, carbon dioxide",1.0.10,unknown,3.87e-06,Fluid (supercritical or subcritical phases),,,C:\Users\angel\AppData\Local\Temp\tmp9iwkey3c\acs.jced.8b00050.xml,10.1021/acs.jced.8b00050,2018,Solubility of Tolbutamide and Chlorpropamide in Supercritical Carbon Dioxide,"Manna, L.[Luigi]",J. Chem. Eng. Data
2__3,"N-[(butylamino)carbonyl]-4-methylbenzenesulfonamide, carbon dioxide",1.0.10,unknown,5.87e-06,Fluid (supercritical or subcritical phases),,,C:\Users\angel\AppData\Local\Temp\tmp9iwkey3c\acs.jced.8b00050.xml,10.1021/acs.jced.8b00050,2018,Solubility of Tolbutamide and Chlorpropamide in Supercritical Carbon Dioxide,"Manna, L.[Luigi]",J. Chem. Eng. Data
2__3,"N-[(butylamino)carbonyl]-4-methylbenzenesulfonamide, carbon dioxide",1.0.10,unknown,7.46e-06,Fluid (supercritical or subcritical phases),,,C:\Users\angel\AppData\Local\Temp\tmp9iwkey3c\acs.jced.8b00050.xml,10.1021/acs.jced.8b00050,2018,Solubility of Tolbutamide and Chlorpropamide in Supercritical Carbon Dioxide,"Manna, L.[Luigi]",J. Chem. Eng. Data
2__3,"N-[(butylamino)carbonyl]-4-methylbenzenesulfonamide, carbon dioxide",1.0.10,unknown,9.2e-06,Fluid (supercritical or subcritical phases),,,C:\Users\angel\AppData\Local\Temp\tmp9iwkey3c\acs.jced.8b00050.xml,10.1021/acs.jced.8b00050,2018,Solubility of Tolbutamide and Chlorpropamide in Supercritical Carbon Dioxide,"Manna, L.[Luigi]",J. Chem. Eng. Data
2__3,"N-[(butylamino)carbonyl]-4-methylbenzenesulfonamide, carbon dioxide",1.0.10,unknown,4.21e-06,Fluid (supercritical or subcritical phases),,,C:\Users\angel\AppData\Local\Temp\tmp9iwkey3c\acs.jced.8b00050.xml,10.1021/acs.jced.8b00050,2018,Solubility of Tolbutamide and Chlorpropamide in Supercritical Carbon Dioxide,"Manna, L.[Luigi]",J. Chem. Eng. Data
